"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Usp13" "ENSMUSG00000056900_Usp13" "protein_coding" "3" "ENSMUSG00000056900" "Usp13" "Usp13"
"Gm5620" "ENSMUSG00000056904_Gm5620" "processed_pseudogene" "9" "ENSMUSG00000056904" "Gm5620" "Gm5620"
"Vmn2r107" "ENSMUSG00000056910_Vmn2r107" "protein_coding" "17" "ENSMUSG00000056910" "Vmn2r107" "Vmn2r107"
"1700017N19Rik" "ENSMUSG00000056912_1700017N19Rik" "protein_coding" "10" "ENSMUSG00000056912" "1700017N19Rik" "1700017N19Rik"
"Sipa1" "ENSMUSG00000056917_Sipa1" "protein_coding" "19" "ENSMUSG00000056917" "Sipa1" "Sipa1"
"Cep162" "ENSMUSG00000056919_Cep162" "protein_coding" "9" "ENSMUSG00000056919" "Cep162" "Cep162"
"Olfr394" "ENSMUSG00000056921_Olfr394" "protein_coding" "11" "ENSMUSG00000056921" "Olfr394" "Olfr394"
"Acbd4" "ENSMUSG00000056938_Acbd4" "protein_coding" "11" "ENSMUSG00000056938" "Acbd4" "Acbd4"
"Commd7" "ENSMUSG00000056941_Commd7" "protein_coding" "2" "ENSMUSG00000056941" "Commd7" "Commd7"
"Gm10015" "ENSMUSG00000056943_Gm10015" "processed_pseudogene" "8" "ENSMUSG00000056943" "Gm10015" "Gm10015"
"Mab21l1" "ENSMUSG00000056947_Mab21l1" "protein_coding" "3" "ENSMUSG00000056947" "Mab21l1" "Mab21l1"
"Tatdn2" "ENSMUSG00000056952_Tatdn2" "protein_coding" "6" "ENSMUSG00000056952" "Tatdn2" "Tatdn2"
"Olfr315" "ENSMUSG00000056959_Olfr315" "protein_coding" "11" "ENSMUSG00000056959" "Olfr315" "Olfr315"
"Olfr919" "ENSMUSG00000056961_Olfr919" "protein_coding" "9" "ENSMUSG00000056961" "Olfr919" "Olfr919"
"Jmjd6" "ENSMUSG00000056962_Jmjd6" "protein_coding" "11" "ENSMUSG00000056962" "Jmjd6" "Jmjd6"
"Gjc3" "ENSMUSG00000056966_Gjc3" "protein_coding" "5" "ENSMUSG00000056966" "Gjc3" "Gjc3"
"Magel2" "ENSMUSG00000056972_Magel2" "protein_coding" "7" "ENSMUSG00000056972" "Magel2" "Magel2"
"Ces1d" "ENSMUSG00000056973_Ces1d" "protein_coding" "8" "ENSMUSG00000056973" "Ces1d" "Ces1d"
"Hamp2" "ENSMUSG00000056978_Hamp2" "protein_coding" "7" "ENSMUSG00000056978" "Hamp2" "Hamp2"
"Fam71d" "ENSMUSG00000056987_Fam71d" "protein_coding" "12" "ENSMUSG00000056987" "Fam71d" "Fam71d"
"Olfr1178" "ENSMUSG00000056995_Olfr1178" "protein_coding" "2" "ENSMUSG00000056995" "Olfr1178" "Olfr1178"
"Ide" "ENSMUSG00000056999_Ide" "protein_coding" "19" "ENSMUSG00000056999" "Ide" "Ide"
"Nxf3" "ENSMUSG00000057000_Nxf3" "protein_coding" "X" "ENSMUSG00000057000" "Nxf3" "Nxf3"
"Myh4" "ENSMUSG00000057003_Myh4" "protein_coding" "11" "ENSMUSG00000057003" "Myh4" "Myh4"
"Cfhr1" "ENSMUSG00000057037_Cfhr1" "protein_coding" "1" "ENSMUSG00000057037" "Cfhr1" "Cfhr1"
"Inca1" "ENSMUSG00000057054_Inca1" "protein_coding" "11" "ENSMUSG00000057054" "Inca1" "Inca1"
"Skap1" "ENSMUSG00000057058_Skap1" "protein_coding" "11" "ENSMUSG00000057058" "Skap1" "Skap1"
"Slc35f3" "ENSMUSG00000057060_Slc35f3" "protein_coding" "8" "ENSMUSG00000057060" "Slc35f3" "Slc35f3"
"Olfr297" "ENSMUSG00000057067_Olfr297" "protein_coding" "7" "ENSMUSG00000057067" "Olfr297" "Olfr297"
"Fam47e" "ENSMUSG00000057068_Fam47e" "protein_coding" "5" "ENSMUSG00000057068" "Fam47e" "Fam47e"
"Ero1lb" "ENSMUSG00000057069_Ero1lb" "protein_coding" "13" "ENSMUSG00000057069" "Ero1lb" "Ero1lb"
"Spata45" "ENSMUSG00000057072_Spata45" "protein_coding" "1" "ENSMUSG00000057072" "Spata45" "Spata45"
"Ces1g" "ENSMUSG00000057074_Ces1g" "protein_coding" "8" "ENSMUSG00000057074" "Ces1g" "Ces1g"
"Fxyd3" "ENSMUSG00000057092_Fxyd3" "protein_coding" "7" "ENSMUSG00000057092" "Fxyd3" "Fxyd3"
"Zfp607b" "ENSMUSG00000057093_Zfp607b" "protein_coding" "7" "ENSMUSG00000057093" "Zfp607b" "Zfp607b"
"Ebf1" "ENSMUSG00000057098_Ebf1" "protein_coding" "11" "ENSMUSG00000057098" "Ebf1" "Ebf1"
"Zfp180" "ENSMUSG00000057101_Zfp180" "protein_coding" "7" "ENSMUSG00000057101" "Zfp180" "Zfp180"
"Nat8f1" "ENSMUSG00000057103_Nat8f1" "protein_coding" "6" "ENSMUSG00000057103" "Nat8f1" "Nat8f1"
"Cntrl" "ENSMUSG00000057110_Cntrl" "protein_coding" "2" "ENSMUSG00000057110" "Cntrl" "Cntrl"
"Npm1" "ENSMUSG00000057113_Npm1" "protein_coding" "11" "ENSMUSG00000057113" "Npm1" "Npm1"
"Gja5" "ENSMUSG00000057123_Gja5" "protein_coding" "3" "ENSMUSG00000057123" "Gja5" "Gja5"
"Txnl4a" "ENSMUSG00000057130_Txnl4a" "protein_coding" "18" "ENSMUSG00000057130" "Txnl4a" "Txnl4a"
"Rpgrip1" "ENSMUSG00000057132_Rpgrip1" "protein_coding" "14" "ENSMUSG00000057132" "Rpgrip1" "Rpgrip1"
"Chd6" "ENSMUSG00000057133_Chd6" "protein_coding" "2" "ENSMUSG00000057133" "Chd6" "Chd6"
"Ado" "ENSMUSG00000057134_Ado" "protein_coding" "10" "ENSMUSG00000057134" "Ado" "Ado"
"Tmem140" "ENSMUSG00000057137_Tmem140" "protein_coding" "6" "ENSMUSG00000057137" "Tmem140" "Tmem140"
"Trim12c" "ENSMUSG00000057143_Trim12c" "protein_coding" "7" "ENSMUSG00000057143" "Trim12c" "Trim12c"
"Dph6" "ENSMUSG00000057147_Dph6" "protein_coding" "2" "ENSMUSG00000057147" "Dph6" "Dph6"
"Olfr1301" "ENSMUSG00000057149_Olfr1301" "protein_coding" "2" "ENSMUSG00000057149" "Olfr1301" "Olfr1301"
"Homez" "ENSMUSG00000057156_Homez" "protein_coding" "14" "ENSMUSG00000057156" "Homez" "Homez"
"Gm6054" "ENSMUSG00000057157_Gm6054" "processed_pseudogene" "5" "ENSMUSG00000057157" "Gm6054" "Gm6054"
"Prss2" "ENSMUSG00000057163_Prss2" "protein_coding" "6" "ENSMUSG00000057163" "Prss2" "Prss2"
"Rfx8" "ENSMUSG00000057173_Rfx8" "protein_coding" "1" "ENSMUSG00000057173" "Rfx8" "Rfx8"
"Ccdc189" "ENSMUSG00000057176_Ccdc189" "protein_coding" "7" "ENSMUSG00000057176" "Ccdc189" "Ccdc189"
"Gsk3a" "ENSMUSG00000057177_Gsk3a" "protein_coding" "7" "ENSMUSG00000057177" "Gsk3a" "Gsk3a"
"Olfr747" "ENSMUSG00000057179_Olfr747" "protein_coding" "14" "ENSMUSG00000057179" "Olfr747" "Olfr747"
"5730455P16Rik" "ENSMUSG00000057181_5730455P16Rik" "protein_coding" "11" "ENSMUSG00000057181" "5730455P16Rik" "5730455P16Rik"
"Scn3a" "ENSMUSG00000057182_Scn3a" "protein_coding" "2" "ENSMUSG00000057182" "Scn3a" "Scn3a"
"AB124611" "ENSMUSG00000057191_AB124611" "protein_coding" "9" "ENSMUSG00000057191" "AB124611" "AB124611"
"Slc44a2" "ENSMUSG00000057193_Slc44a2" "protein_coding" "9" "ENSMUSG00000057193" "Slc44a2" "Slc44a2"
"Ceacam13" "ENSMUSG00000057195_Ceacam13" "protein_coding" "7" "ENSMUSG00000057195" "Ceacam13" "Ceacam13"
"Platr28" "ENSMUSG00000057215_Platr28" "lincRNA" "7" "ENSMUSG00000057215" "Platr28" "Platr28"
"Armc7" "ENSMUSG00000057219_Armc7" "protein_coding" "11" "ENSMUSG00000057219" "Armc7" "Armc7"
"Gm6578" "ENSMUSG00000057223_Gm6578" "transcribed_processed_pseudogene" "6" "ENSMUSG00000057223" "Gm6578" "Gm6578"
"Aadat" "ENSMUSG00000057228_Aadat" "protein_coding" "8" "ENSMUSG00000057228" "Aadat" "Aadat"
"Dmac2" "ENSMUSG00000057229_Dmac2" "protein_coding" "7" "ENSMUSG00000057229" "Dmac2" "Dmac2"
"Aak1" "ENSMUSG00000057230_Aak1" "protein_coding" "6" "ENSMUSG00000057230" "Aak1" "Aak1"
"Mettl15" "ENSMUSG00000057234_Mettl15" "protein_coding" "2" "ENSMUSG00000057234" "Mettl15" "Mettl15"
"Rbbp4" "ENSMUSG00000057236_Rbbp4" "protein_coding" "4" "ENSMUSG00000057236" "Rbbp4" "Rbbp4"
"Ms4a13" "ENSMUSG00000057240_Ms4a13" "protein_coding" "19" "ENSMUSG00000057240" "Ms4a13" "Ms4a13"
"Gm6139" "ENSMUSG00000057244_Gm6139" "processed_pseudogene" "5" "ENSMUSG00000057244" "Gm6139" "Gm6139"
"BC051142" "ENSMUSG00000057246_BC051142" "protein_coding" "17" "ENSMUSG00000057246" "BC051142" "BC051142"
"Gm10020" "ENSMUSG00000057262_Gm10020" "processed_pseudogene" "15" "ENSMUSG00000057262" "Gm10020" "Gm10020"
"Bbof1" "ENSMUSG00000057265_Bbof1" "protein_coding" "12" "ENSMUSG00000057265" "Bbof1" "Bbof1"
"Olfr1501" "ENSMUSG00000057270_Olfr1501" "protein_coding" "19" "ENSMUSG00000057270" "Olfr1501" "Olfr1501"
"Snrpg" "ENSMUSG00000057278_Snrpg" "protein_coding" "6" "ENSMUSG00000057278" "Snrpg" "Snrpg"
"Musk" "ENSMUSG00000057280_Musk" "protein_coding" "4" "ENSMUSG00000057280" "Musk" "Musk"
"St6galnac2" "ENSMUSG00000057286_St6galnac2" "protein_coding" "11" "ENSMUSG00000057286" "St6galnac2" "St6galnac2"
"Gm15732" "ENSMUSG00000057290_Gm15732" "processed_pseudogene" "5" "ENSMUSG00000057290" "Gm15732" "Gm15732"
"Arhgap24" "ENSMUSG00000057315_Arhgap24" "protein_coding" "5" "ENSMUSG00000057315" "Arhgap24" "Arhgap24"
"Rpl38" "ENSMUSG00000057322_Rpl38" "protein_coding" "11" "ENSMUSG00000057322" "Rpl38" "Rpl38"
"Bcl2" "ENSMUSG00000057329_Bcl2" "protein_coding" "1" "ENSMUSG00000057329" "Bcl2" "Bcl2"
"Cep170" "ENSMUSG00000057335_Cep170" "protein_coding" "1" "ENSMUSG00000057335" "Cep170" "Cep170"
"Chst3" "ENSMUSG00000057337_Chst3" "protein_coding" "10" "ENSMUSG00000057337" "Chst3" "Chst3"
"Sphk2" "ENSMUSG00000057342_Sphk2" "protein_coding" "7" "ENSMUSG00000057342" "Sphk2" "Sphk2"
"Apol9a" "ENSMUSG00000057346_Apol9a" "protein_coding" "15" "ENSMUSG00000057346" "Apol9a" "Apol9a"
"Olfr948" "ENSMUSG00000057349_Olfr948" "protein_coding" "9" "ENSMUSG00000057349" "Olfr948" "Olfr948"
"Gm17494" "ENSMUSG00000057359_Gm17494" "processed_transcript" "3" "ENSMUSG00000057359" "Gm17494" "Gm17494"
"Uxs1" "ENSMUSG00000057363_Uxs1" "protein_coding" "1" "ENSMUSG00000057363" "Uxs1" "Uxs1"
"Birc2" "ENSMUSG00000057367_Birc2" "protein_coding" "9" "ENSMUSG00000057367" "Birc2" "Birc2"
"Gm8724" "ENSMUSG00000057370_Gm8724" "processed_pseudogene" "6" "ENSMUSG00000057370" "Gm8724" "Gm8724"
"Yipf1" "ENSMUSG00000057375_Yipf1" "protein_coding" "4" "ENSMUSG00000057375" "Yipf1" "Yipf1"
"Ryr3" "ENSMUSG00000057378_Ryr3" "protein_coding" "2" "ENSMUSG00000057378" "Ryr3" "Ryr3"
"Mrpl18" "ENSMUSG00000057388_Mrpl18" "protein_coding" "17" "ENSMUSG00000057388" "Mrpl18" "Mrpl18"
"Zfp759" "ENSMUSG00000057396_Zfp759" "protein_coding" "13" "ENSMUSG00000057396" "Zfp759" "Zfp759"
"Ces1c" "ENSMUSG00000057400_Ces1c" "protein_coding" "8" "ENSMUSG00000057400" "Ces1c" "Ces1c"
"Nsd2" "ENSMUSG00000057406_Nsd2" "protein_coding" "5" "ENSMUSG00000057406" "Nsd2" "Nsd2"
"Zfp53" "ENSMUSG00000057409_Zfp53" "protein_coding" "17" "ENSMUSG00000057409" "Zfp53" "Zfp53"
"Fam173a" "ENSMUSG00000057411_Fam173a" "protein_coding" "17" "ENSMUSG00000057411" "Fam173a" "Fam173a"
"Dcpp3" "ENSMUSG00000057417_Dcpp3" "protein_coding" "17" "ENSMUSG00000057417" "Dcpp3" "Dcpp3"
"Las1l" "ENSMUSG00000057421_Las1l" "protein_coding" "X" "ENSMUSG00000057421" "Las1l" "Las1l"
"Olfr934" "ENSMUSG00000057424_Olfr934" "protein_coding" "9" "ENSMUSG00000057424" "Olfr934" "Olfr934"
"Ugt2b37" "ENSMUSG00000057425_Ugt2b37" "protein_coding" "5" "ENSMUSG00000057425" "Ugt2b37" "Ugt2b37"
"Kir3dl2" "ENSMUSG00000057439_Kir3dl2" "protein_coding" "X" "ENSMUSG00000057439" "Kir3dl2" "Kir3dl2"
"Mpp7" "ENSMUSG00000057440_Mpp7" "protein_coding" "18" "ENSMUSG00000057440" "Mpp7" "Mpp7"
"Olfr138" "ENSMUSG00000057443_Olfr138" "protein_coding" "17" "ENSMUSG00000057443" "Olfr138" "Olfr138"
"Olfr1205" "ENSMUSG00000057447_Olfr1205" "protein_coding" "2" "ENSMUSG00000057447" "Olfr1205" "Olfr1205"
"Lypd3" "ENSMUSG00000057454_Lypd3" "protein_coding" "7" "ENSMUSG00000057454" "Lypd3" "Lypd3"
"Rit2" "ENSMUSG00000057455_Rit2" "protein_coding" "18" "ENSMUSG00000057455" "Rit2" "Rit2"
"Phex" "ENSMUSG00000057457_Phex" "protein_coding" "X" "ENSMUSG00000057457" "Phex" "Phex"
"Olfr591" "ENSMUSG00000057461_Olfr591" "protein_coding" "7" "ENSMUSG00000057461" "Olfr591" "Olfr591"
"Saa2" "ENSMUSG00000057465_Saa2" "protein_coding" "7" "ENSMUSG00000057465" "Saa2" "Saa2"
"E2f6" "ENSMUSG00000057469_E2f6" "protein_coding" "12" "ENSMUSG00000057469" "E2f6" "E2f6"
"Fam136a" "ENSMUSG00000057497_Fam136a" "protein_coding" "6" "ENSMUSG00000057497" "Fam136a" "Fam136a"
"Gm6177" "ENSMUSG00000057499_Gm6177" "processed_pseudogene" "1" "ENSMUSG00000057499" "Gm6177" "Gm6177"
"Bloc1s2" "ENSMUSG00000057506_Bloc1s2" "protein_coding" "19" "ENSMUSG00000057506" "Bloc1s2" "Bloc1s2"
"Spop" "ENSMUSG00000057522_Spop" "protein_coding" "11" "ENSMUSG00000057522" "Spop" "Spop"
"Ece1" "ENSMUSG00000057530_Ece1" "protein_coding" "4" "ENSMUSG00000057530" "Ece1" "Ece1"
"Dtnbp1" "ENSMUSG00000057531_Dtnbp1" "protein_coding" "13" "ENSMUSG00000057531" "Dtnbp1" "Dtnbp1"
"Elobl" "ENSMUSG00000057534_Elobl" "protein_coding" "11" "ENSMUSG00000057534" "Elobl" "Elobl"
"Pus7" "ENSMUSG00000057541_Pus7" "protein_coding" "5" "ENSMUSG00000057541" "Pus7" "Pus7"
"Zfp317" "ENSMUSG00000057551_Zfp317" "protein_coding" "9" "ENSMUSG00000057551" "Zfp317" "Zfp317"
"Lgals8" "ENSMUSG00000057554_Lgals8" "protein_coding" "13" "ENSMUSG00000057554" "Lgals8" "Lgals8"
"Eif1a" "ENSMUSG00000057561_Eif1a" "protein_coding" "18" "ENSMUSG00000057561" "Eif1a" "Eif1a"
"Olfr1508" "ENSMUSG00000057564_Olfr1508" "protein_coding" "14" "ENSMUSG00000057564" "Olfr1508" "Olfr1508"
"Zbtb8os" "ENSMUSG00000057572_Zbtb8os" "protein_coding" "4" "ENSMUSG00000057572" "Zbtb8os" "Zbtb8os"
"Gm10012" "ENSMUSG00000057580_Gm10012" "transcribed_processed_pseudogene" "17" "ENSMUSG00000057580" "Gm10012" "Gm10012"
"Arl16" "ENSMUSG00000057594_Arl16" "protein_coding" "11" "ENSMUSG00000057594" "Arl16" "Arl16"
"Trim30d" "ENSMUSG00000057596_Trim30d" "protein_coding" "7" "ENSMUSG00000057596" "Trim30d" "Trim30d"
"Lmcd1" "ENSMUSG00000057604_Lmcd1" "protein_coding" "6" "ENSMUSG00000057604" "Lmcd1" "Lmcd1"
"Gm6807" "ENSMUSG00000057605_Gm6807" "processed_pseudogene" "19" "ENSMUSG00000057605" "Gm6807" "Gm6807"
"Colq" "ENSMUSG00000057606_Colq" "protein_coding" "14" "ENSMUSG00000057606" "Colq" "Colq"
"Gnai1" "ENSMUSG00000057614_Gnai1" "protein_coding" "5" "ENSMUSG00000057614" "Gnai1" "Gnai1"
"Ldoc1" "ENSMUSG00000057615_Ldoc1" "protein_coding" "X" "ENSMUSG00000057615" "Ldoc1" "Ldoc1"
"Prdm2" "ENSMUSG00000057637_Prdm2" "protein_coding" "4" "ENSMUSG00000057637" "Prdm2" "Prdm2"
"Brd9" "ENSMUSG00000057649_Brd9" "protein_coding" "13" "ENSMUSG00000057649" "Brd9" "Brd9"
"Rps18-ps3" "ENSMUSG00000057657_Rps18-ps3" "processed_pseudogene" "8" "ENSMUSG00000057657" "Rps18-ps3" "Rps18-ps3"
"Gapdh" "ENSMUSG00000057666_Gapdh" "protein_coding" "6" "ENSMUSG00000057666" "Gapdh" "Gapdh"
"Bloc1s3" "ENSMUSG00000057667_Bloc1s3" "protein_coding" "7" "ENSMUSG00000057667" "Bloc1s3" "Bloc1s3"
"Pkn1" "ENSMUSG00000057672_Pkn1" "protein_coding" "8" "ENSMUSG00000057672" "Pkn1" "Pkn1"
"Gm8526" "ENSMUSG00000057685_Gm8526" "processed_pseudogene" "13" "ENSMUSG00000057685" "Gm8526" "Gm8526"
"Zfp746" "ENSMUSG00000057691_Zfp746" "protein_coding" "6" "ENSMUSG00000057691" "Zfp746" "Zfp746"
"Rpl30-ps1" "ENSMUSG00000057696_Rpl30-ps1" "processed_pseudogene" "6" "ENSMUSG00000057696" "Rpl30-ps1" "Rpl30-ps1"
"Mex3b" "ENSMUSG00000057706_Mex3b" "protein_coding" "7" "ENSMUSG00000057706" "Mex3b" "Mex3b"
"9630041A04Rik" "ENSMUSG00000057710_9630041A04Rik" "protein_coding" "9" "ENSMUSG00000057710" "9630041A04Rik" "9630041A04Rik"
"A830018L16Rik" "ENSMUSG00000057715_A830018L16Rik" "protein_coding" "1" "ENSMUSG00000057715" "A830018L16Rik" "A830018L16Rik"
"Tmem178b" "ENSMUSG00000057716_Tmem178b" "protein_coding" "6" "ENSMUSG00000057716" "Tmem178b" "Tmem178b"
"Sh3rf2" "ENSMUSG00000057719_Sh3rf2" "protein_coding" "18" "ENSMUSG00000057719" "Sh3rf2" "Sh3rf2"
"Lepr" "ENSMUSG00000057722_Lepr" "protein_coding" "4" "ENSMUSG00000057722" "Lepr" "Lepr"
"Serpinb9g" "ENSMUSG00000057726_Serpinb9g" "protein_coding" "13" "ENSMUSG00000057726" "Serpinb9g" "Serpinb9g"
"Prtn3" "ENSMUSG00000057729_Prtn3" "protein_coding" "10" "ENSMUSG00000057729" "Prtn3" "Prtn3"
"Olfr1185-ps1" "ENSMUSG00000057735_Olfr1185-ps1" "protein_coding" "2" "ENSMUSG00000057735" "Olfr1185-ps1" "Olfr1185-ps1"
"Sptan1" "ENSMUSG00000057738_Sptan1" "protein_coding" "2" "ENSMUSG00000057738" "Sptan1" "Sptan1"
"Megf6" "ENSMUSG00000057751_Megf6" "protein_coding" "4" "ENSMUSG00000057751" "Megf6" "Megf6"
"Gm6169" "ENSMUSG00000057762_Gm6169" "protein_coding" "13" "ENSMUSG00000057762" "Gm6169" "Gm6169"
"Ankrd29" "ENSMUSG00000057766_Ankrd29" "protein_coding" "18" "ENSMUSG00000057766" "Ankrd29" "Ankrd29"
"Olfr668" "ENSMUSG00000057770_Olfr668" "protein_coding" "7" "ENSMUSG00000057770" "Olfr668" "Olfr668"
"Mab21l2" "ENSMUSG00000057777_Mab21l2" "protein_coding" "3" "ENSMUSG00000057777" "Mab21l2" "Mab21l2"
"Cyb5d2" "ENSMUSG00000057778_Cyb5d2" "protein_coding" "11" "ENSMUSG00000057778" "Cyb5d2" "Cyb5d2"
"Ddx49" "ENSMUSG00000057788_Ddx49" "protein_coding" "8" "ENSMUSG00000057788" "Ddx49" "Ddx49"
"Bak1" "ENSMUSG00000057789_Bak1" "protein_coding" "17" "ENSMUSG00000057789" "Bak1" "Bak1"
"Olfr135" "ENSMUSG00000057801_Olfr135" "protein_coding" "17" "ENSMUSG00000057801" "Olfr135" "Olfr135"
"Gm10030" "ENSMUSG00000057802_Gm10030" "processed_transcript" "9" "ENSMUSG00000057802" "Gm10030" "Gm10030"
"1700084M14Rik" "ENSMUSG00000057805_1700084M14Rik" "protein_coding" "X" "ENSMUSG00000057805" "1700084M14Rik" "1700084M14Rik"
"1700007G11Rik" "ENSMUSG00000057816_1700007G11Rik" "protein_coding" "5" "ENSMUSG00000057816" "1700007G11Rik" "1700007G11Rik"
"Olfr1446" "ENSMUSG00000057817_Olfr1446" "protein_coding" "19" "ENSMUSG00000057817" "Olfr1446" "Olfr1446"
"1600029O15Rik" "ENSMUSG00000057818_1600029O15Rik" "transcribed_processed_pseudogene" "9" "ENSMUSG00000057818" "1600029O15Rik" "1600029O15Rik"
"Gm5278" "ENSMUSG00000057829_Gm5278" "processed_pseudogene" "3" "ENSMUSG00000057829" "Gm5278" "Gm5278"
"Zfp119a" "ENSMUSG00000057835_Zfp119a" "protein_coding" "17" "ENSMUSG00000057835" "Zfp119a" "Zfp119a"
"Xlr3a" "ENSMUSG00000057836_Xlr3a" "protein_coding" "X" "ENSMUSG00000057836" "Xlr3a" "Xlr3a"
"Rpl32" "ENSMUSG00000057841_Rpl32" "protein_coding" "6" "ENSMUSG00000057841" "Rpl32" "Rpl32"
"Zfp595" "ENSMUSG00000057842_Zfp595" "protein_coding" "13" "ENSMUSG00000057842" "Zfp595" "Zfp595"
"Fam204a" "ENSMUSG00000057858_Fam204a" "protein_coding" "19" "ENSMUSG00000057858" "Fam204a" "Fam204a"
"Rpl36" "ENSMUSG00000057863_Rpl36" "protein_coding" "17" "ENSMUSG00000057863" "Rpl36" "Rpl36"
"Abat" "ENSMUSG00000057880_Abat" "protein_coding" "16" "ENSMUSG00000057880" "Abat" "Abat"
"Zfp329" "ENSMUSG00000057894_Zfp329" "protein_coding" "7" "ENSMUSG00000057894" "Zfp329" "Zfp329"
"Zfp105" "ENSMUSG00000057895_Zfp105" "protein_coding" "9" "ENSMUSG00000057895" "Zfp105" "Zfp105"
"Camk2b" "ENSMUSG00000057897_Camk2b" "protein_coding" "11" "ENSMUSG00000057897" "Camk2b" "Camk2b"
"Adgrf2" "ENSMUSG00000057899_Adgrf2" "protein_coding" "17" "ENSMUSG00000057899" "Adgrf2" "Adgrf2"
"Olfr739" "ENSMUSG00000057903_Olfr739" "protein_coding" "14" "ENSMUSG00000057903" "Olfr739" "Olfr739"
"Gm10032" "ENSMUSG00000057913_Gm10032" "lincRNA" "14" "ENSMUSG00000057913" "Gm10032" "Gm10032"
"Cacnb2" "ENSMUSG00000057914_Cacnb2" "protein_coding" "2" "ENSMUSG00000057914" "Cacnb2" "Cacnb2"
"Gsta2" "ENSMUSG00000057933_Gsta2" "protein_coding" "9" "ENSMUSG00000057933" "Gsta2" "Gsta2"
"Gm17136" "ENSMUSG00000057945_Gm17136" "processed_pseudogene" "7" "ENSMUSG00000057945" "Gm17136" "Gm17136"
"Unc13d" "ENSMUSG00000057948_Unc13d" "protein_coding" "11" "ENSMUSG00000057948" "Unc13d" "Unc13d"
"Itpk1" "ENSMUSG00000057963_Itpk1" "protein_coding" "12" "ENSMUSG00000057963" "Itpk1" "Itpk1"
"Fgf18" "ENSMUSG00000057967_Fgf18" "protein_coding" "11" "ENSMUSG00000057967" "Fgf18" "Fgf18"
"Sema3b" "ENSMUSG00000057969_Sema3b" "protein_coding" "9" "ENSMUSG00000057969" "Sema3b" "Sema3b"
"Skint11" "ENSMUSG00000057977_Skint11" "protein_coding" "4" "ENSMUSG00000057977" "Skint11" "Skint11"
"Vmn1r12" "ENSMUSG00000057981_Vmn1r12" "protein_coding" "6" "ENSMUSG00000057981" "Vmn1r12" "Vmn1r12"
"Zfp809" "ENSMUSG00000057982_Zfp809" "protein_coding" "9" "ENSMUSG00000057982" "Zfp809" "Zfp809"
"E030024N20Rik" "ENSMUSG00000057990_E030024N20Rik" "processed_pseudogene" "19" "ENSMUSG00000057990" "E030024N20Rik" "E030024N20Rik"
"Olfr541" "ENSMUSG00000057997_Olfr541" "protein_coding" "7" "ENSMUSG00000057997" "Olfr541" "Olfr541"
"Tdpoz3" "ENSMUSG00000058005_Tdpoz3" "protein_coding" "3" "ENSMUSG00000058005" "Tdpoz3" "Tdpoz3"
"Mdn1" "ENSMUSG00000058006_Mdn1" "protein_coding" "4" "ENSMUSG00000058006" "Mdn1" "Mdn1"
"Sept11" "ENSMUSG00000058013_Sept11" "protein_coding" "5" "ENSMUSG00000058013" "Sept11" "Sept11"
"Olfr502" "ENSMUSG00000058014_Olfr502" "protein_coding" "7" "ENSMUSG00000058014" "Olfr502" "Olfr502"
"Serpinb3d" "ENSMUSG00000058017_Serpinb3d" "protein_coding" "1" "ENSMUSG00000058017" "Serpinb3d" "Serpinb3d"
"Ces5a" "ENSMUSG00000058019_Ces5a" "protein_coding" "8" "ENSMUSG00000058019" "Ces5a" "Ces5a"
"Adtrp" "ENSMUSG00000058022_Adtrp" "protein_coding" "13" "ENSMUSG00000058022" "Adtrp" "Adtrp"
"Zscan5b" "ENSMUSG00000058028_Zscan5b" "protein_coding" "7" "ENSMUSG00000058028" "Zscan5b" "Zscan5b"
"4933430I17Rik" "ENSMUSG00000058046_4933430I17Rik" "protein_coding" "4" "ENSMUSG00000058046" "4933430I17Rik" "4933430I17Rik"
"Gm9234" "ENSMUSG00000058050_Gm9234" "processed_pseudogene" "7" "ENSMUSG00000058050" "Gm9234" "Gm9234"
"Palld" "ENSMUSG00000058056_Palld" "protein_coding" "8" "ENSMUSG00000058056" "Palld" "Palld"
"Mettl7a3" "ENSMUSG00000058057_Mettl7a3" "protein_coding" "15" "ENSMUSG00000058057" "Mettl7a3" "Mettl7a3"
"Trim31" "ENSMUSG00000058063_Trim31" "protein_coding" "17" "ENSMUSG00000058063" "Trim31" "Trim31"
"Gm10036" "ENSMUSG00000058064_Gm10036" "protein_coding" "18" "ENSMUSG00000058064" "Gm10036" "Gm10036"
"Eml1" "ENSMUSG00000058070_Eml1" "protein_coding" "12" "ENSMUSG00000058070" "Eml1" "Eml1"
"Olfr818" "ENSMUSG00000058071_Olfr818" "protein_coding" "10" "ENSMUSG00000058071" "Olfr818" "Olfr818"
"Sdhc" "ENSMUSG00000058076_Sdhc" "protein_coding" "1" "ENSMUSG00000058076" "Sdhc" "Sdhc"
"Olfr1503-ps1" "ENSMUSG00000058078_Olfr1503-ps1" "unprocessed_pseudogene" "19" "ENSMUSG00000058078" "Olfr1503-ps1" "Olfr1503-ps1"
"Zfp729b" "ENSMUSG00000058093_Zfp729b" "protein_coding" "13" "ENSMUSG00000058093" "Zfp729b" "Zfp729b"
"Nfam1" "ENSMUSG00000058099_Nfam1" "protein_coding" "15" "ENSMUSG00000058099" "Nfam1" "Nfam1"
